Concept,Rel,Feature,Frequency,上级类别,下级类别
安慰奶嘴,是,是-奶嘴,13.0,人造物,餐具
安慰奶嘴,需要,需要-清洗,9.0,人造物,餐具
安慰奶嘴,像,像-乳房,8.0,人造物,餐具
安慰奶嘴,可以,可以-安抚,7.0,人造物,餐具
安慰奶嘴,需要,需要-制造,7.0,人造物,餐具
安慰奶嘴,可以,可以-吸,5.0,人造物,餐具
安慰奶嘴,可以,可以-促进手眼协调,4.0,人造物,餐具
安慰奶嘴,可以,可以-哄孩子,4.0,人造物,餐具
安慰奶嘴,是,是-玩具,4.0,人造物,餐具
安慰奶嘴,是,是-橡胶,4.0,人造物,餐具
安慰奶嘴,像,像-奶瓶,4.0,人造物,餐具
安慰奶嘴,需要,需要-消毒,4.0,人造物,餐具
安慰奶嘴,有,有-奶嘴,4.0,人造物,餐具
安慰奶嘴,是,是-塑料,3.0,人造物,餐具
安慰奶嘴,有,有-孔,3.0,人造物,餐具
安慰奶嘴,有,有-奶头,3.0,人造物,餐具
安慰奶嘴,有,有-形状,3.0,人造物,餐具
安慰奶嘴,可以,可以-喝奶,2.0,人造物,餐具
安慰奶嘴,可以,可以-缓解宝宝的焦虑情绪,2.0,人造物,餐具
安慰奶嘴,可以,可以-戒奶,2.0,人造物,餐具
安慰奶嘴,可以,可以-买卖,2.0,人造物,餐具
安慰奶嘴,可以,可以-吮吸,2.0,人造物,餐具
安慰奶嘴,可以,可以-吸吮,2.0,人造物,餐具
安慰奶嘴,可以,可以-咬,2.0,人造物,餐具
安慰奶嘴,是,是-孩童的,2.0,人造物,餐具
安慰奶嘴,是,是-软的,2.0,人造物,餐具
安慰奶嘴,像,像-吸管,2.0,人造物,餐具
安慰奶嘴,有,有-把手,2.0,人造物,餐具
安慰奶嘴,有,有-包装,2.0,人造物,餐具
安慰奶嘴,有,有-多种品牌,2.0,人造物,餐具
安慰奶嘴,有,有-多种种类,2.0,人造物,餐具
鹌鹑,是,是-鸟,21.0,动物,鸟
鹌鹑,需要,需要-食物,20.0,动物,鸟
鹌鹑,是,是-动物,14.0,动物,鸟
鹌鹑,需要,需要-水,13.0,动物,鸟
鹌鹑,有,有-翅膀,13.0,动物,鸟
鹌鹑,可以,可以-飞,12.0,动物,鸟
鹌鹑,可以,可以-下蛋,12.0,动物,鸟
鹌鹑,可以,可以-食用,11.0,动物,鸟
鹌鹑,有,有-鹌鹑蛋,10.0,动物,鸟
鹌鹑,有,有-羽毛,10.0,动物,鸟
鹌鹑,是,是-小的,9.0,动物,鸟
鹌鹑,需要,需要-空气,8.0,动物,鸟
鹌鹑,有,有-爪子,7.0,动物,鸟
鹌鹑,像,像-麻雀,6.0,动物,鸟
鹌鹑,需要,需要-睡觉,6.0,动物,鸟
鹌鹑,像,像-鸡,5.0,动物,鸟
鹌鹑,像,像-鸽子,4.0,动物,鸟
鹌鹑,有,有-眼睛,4.0,动物,鸟
鹌鹑,可以,可以-游泳,3.0,动物,鸟
鹌鹑,是,是-食物,3.0,动物,鸟
鹌鹑,是,是-棕色的,3.0,动物,鸟
鹌鹑,需要,需要-虫,3.0,动物,鸟
鹌鹑,有,有-嘴巴,3.0,动物,鸟
鹌鹑,可以,可以-捕猎,2.0,动物,鸟
鹌鹑,是,是-卵生的,2.0,动物,鸟
鹌鹑,像,像-鸟,2.0,动物,鸟
鹌鹑,像,像-啄木鸟,2.0,动物,鸟
鹌鹑,需要,需要-草,2.0,动物,鸟
鹌鹑,有,有-毛,2.0,动物,鸟
鹌鹑,有,有-四肢,2.0,动物,鸟
鹌鹑,有,有-五官,2.0,动物,鸟
鹌鹑蛋,是,是-食物,26.7857142857143,食物,固态干粮
鹌鹑蛋,有,有-蛋黄,19.2857142857143,食物,固态干粮
鹌鹑蛋,是,是-蛋,18.2142857142857,食物,固态干粮
鹌鹑蛋,有,有-壳,18.2142857142857,食物,固态干粮
鹌鹑蛋,有,有-蛋白,17.1428571428571,食物,固态干粮
鹌鹑蛋,像,像-鸡蛋,16.0714285714286,食物,固态干粮
鹌鹑蛋,需要,需要-鹌鹑,16.0714285714286,食物,固态干粮
鹌鹑蛋,可以,可以-孵化,11.7857142857143,食物,固态干粮
鹌鹑蛋,是,是-小的,8.57142857142857,食物,固态干粮
鹌鹑蛋,像,像-石头,7.5,食物,固态干粮
鹌鹑蛋,像,像-鸭蛋,5.35714285714286,食物,固态干粮
鹌鹑蛋,需要,需要-白色的,5.35714285714286,食物,固态干粮
鹌鹑蛋,需要,需要-剥开,5.35714285714286,食物,固态干粮
鹌鹑蛋,有,有-蛋清,5.35714285714286,食物,固态干粮
鹌鹑蛋,有,有-营养,5.35714285714286,食物,固态干粮
鹌鹑蛋,是,是-椭圆形,4.28571428571429,食物,固态干粮
鹌鹑蛋,是,是-圆形,4.28571428571429,食物,固态干粮
鹌鹑蛋,可以,可以-护肤,3.21428571428571,食物,固态干粮
鹌鹑蛋,像,像-球,3.21428571428571,食物,固态干粮
鹌鹑蛋,需要,需要-空气,3.21428571428571,食物,固态干粮
鹌鹑蛋,需要,需要-煮,3.21428571428571,食物,固态干粮
鹌鹑蛋,有,有-斑点,3.21428571428571,食物,固态干粮
鹌鹑蛋,有,有-花纹,3.21428571428571,食物,固态干粮
鹌鹑蛋,是,是-好吃的,2.14285714285714,食物,固态干粮
鹌鹑蛋,像,像-小皮球,2.14285714285714,食物,固态干粮
鹌鹑蛋,需要,需要-水,2.14285714285714,食物,固态干粮
鹌鹑蛋,有,有-蛋白质,2.14285714285714,食物,固态干粮
鹌鹑蛋,有,有-颜色,2.14285714285714,食物,固态干粮
按键,可以,可以-按,16.0,人造物,工具
按键,是,是-塑料,9.0,人造物,工具
按键,是,是-方形的,7.0,人造物,工具
按键,可以,可以-打字,6.0,人造物,工具
按键,需要,需要-制造,5.0,人造物,工具
按键,有,有-弹簧,5.0,人造物,工具
按键,有,有-多种种类,5.0,人造物,工具
按键,可以,可以-发声,4.0,人造物,工具
按键,是,是-工具,4.0,人造物,工具
按键,是,是-黑色的,4.0,人造物,工具
按键,像,像-开关,4.0,人造物,工具
按键,需要,需要-安装,4.0,人造物,工具
按键,需要,需要-电,4.0,人造物,工具
按键,有,有-多种功能,4.0,人造物,工具
按键,可以,可以-控制,3.0,人造物,工具
按键,可以,可以-控制开关,3.0,人造物,工具
按键,是,是-金属,3.0,人造物,工具
按键,是,是-块状的,3.0,人造物,工具
按键,有,有-多种颜色,3.0,人造物,工具
按键,有,有-数字,3.0,人造物,工具
按键,有,有-圆形,3.0,人造物,工具
按键,有,有-字母,3.0,人造物,工具
按键,可以,可以-触摸,2.0,人造物,工具
按键,可以,可以-输入信息,2.0,人造物,工具
按键,其他,其他-机器,2.0,人造物,工具
按键,其他,其他-键盘,2.0,人造物,工具
按键,是,是-大的,2.0,人造物,工具
按键,是,是-开关,2.0,人造物,工具
按键,像,像-豆腐,2.0,人造物,工具
按键,像,像-扣子,2.0,人造物,工具
按键,像,像-瓶盖,2.0,人造物,工具
按键,像,像-巧克力,2.0,人造物,工具
按键,需要,需要-擦,2.0,人造物,工具
按键,需要,需要-人为操作,2.0,人造物,工具
按键,需要,需要-设计,2.0,人造物,工具
按键,有,有-多种型号,2.0,人造物,工具
按键,有,有-凸起,2.0,人造物,工具
按键,有,有-小的,2.0,人造物,工具
按键,有,有-颜色,2.0,人造物,工具
按摩器,可以,可以-按摩,25.0,人造物,电器
按摩器,需要,需要-电,16.0,人造物,电器
按摩器,是,是-机器,10.0,人造物,电器
按摩器,是,是-电器,5.0,人造物,电器
按摩器,可以,可以-放松,4.0,人造物,电器
按摩器,像,像-手,3.0,人造物,电器
按摩器,需要,需要-买,3.0,人造物,电器
按摩器,有,有-按键,3.0,人造物,电器
按摩器,有,有-多种种类,3.0,人造物,电器
按摩器,可以,可以-买卖,2.0,人造物,电器
按摩器,是,是-工具,2.0,人造物,电器
按摩器,是,是-家里的,2.0,人造物,电器
按摩器,是,是-器材,2.0,人造物,电器
按摩器,是,是-仪器,2.0,人造物,电器
按摩器,需要,需要-充电,2.0,人造物,电器
按摩器,有,有-把手,2.0,人造物,电器
按摩器,有,有-开关,2.0,人造物,电器
按摩器,有,有-座位,2.0,人造物,电器
按钮,可以,可以-按,14.0,人造物,电器
按钮,像,像-扣子,11.0,人造物,电器
按钮,是,是-按键,8.0,人造物,电器
按钮,是,是-开关,6.0,人造物,电器
按钮,是,是-圆形,6.0,人造物,电器
按钮,有,有-弹簧,5.0,人造物,电器
按钮,有,有-多种样式,5.0,人造物,电器
按钮,是,是-部件,4.0,人造物,电器
按钮,需要,需要-电,4.0,人造物,电器
按钮,有,有-多种功能,4.0,人造物,电器
按钮,可以,可以-关闭,3.0,人造物,电器
按钮,可以,可以-控制,3.0,人造物,电器
按钮,其他,其他-电器,3.0,人造物,电器
按钮,是,是-方形的,3.0,人造物,电器
按钮,是,是-红色的,3.0,人造物,电器
按钮,有,有-多种材质,3.0,人造物,电器
按钮,有,有-多种型号,3.0,人造物,电器
按钮,有,有-壳,3.0,人造物,电器
按钮,可以,可以-发声,2.0,人造物,电器
按钮,可以,可以-开关,2.0,人造物,电器
按钮,可以,可以-控制机器,2.0,人造物,电器
按钮,其他,其他-电梯,2.0,人造物,电器
按钮,是,是-工具,2.0,人造物,电器
按钮,是,是-功能键,2.0,人造物,电器
按钮,是,是-机关,2.0,人造物,电器
按钮,是,是-键,2.0,人造物,电器
按钮,是,是-金属,2.0,人造物,电器
按钮,是,是-绿色的,2.0,人造物,电器
按钮,是,是-生活用品,2.0,人造物,电器
按钮,是,是-塑料的,2.0,人造物,电器
按钮,是,是-小的,2.0,人造物,电器
按钮,像,像-键盘,2.0,人造物,电器
按钮,像,像-盘子,2.0,人造物,电器
按钮,像,像-糖,2.0,人造物,电器
按钮,需要,需要-安装,2.0,人造物,电器
按钮,需要,需要-检查,2.0,人造物,电器
按钮,有,有-标识,2.0,人造物,电器
按钮,有,有-功能,2.0,人造物,电器
按钮,有,有-凸起,2.0,人造物,电器
按钮,有,有-颜色,2.0,人造物,电器
八宝粥,是,是-食物,25.0,食物,酒水饮料
八宝粥,是,是-粥,15.0,食物,酒水饮料
八宝粥,可以,可以-食用,14.0,食物,酒水饮料
八宝粥,可以,可以-饮用,9.0,食物,酒水饮料
八宝粥,需要,需要-煮,9.0,食物,酒水饮料
八宝粥,有,有-红枣,9.0,食物,酒水饮料
八宝粥,有,有-花生,7.0,食物,酒水饮料
八宝粥,需要,需要-熬,6.0,食物,酒水饮料
八宝粥,有,有-大米,6.0,食物,酒水饮料
八宝粥,有,有-谷物,6.0,食物,酒水饮料
八宝粥,有,有-桂圆,6.0,食物,酒水饮料
八宝粥,可以,可以-养胃,5.0,食物,酒水饮料
八宝粥,有,有-大豆,5.0,食物,酒水饮料
八宝粥,有,有-莲子,5.0,食物,酒水饮料
八宝粥,是,是-早餐,4.0,食物,酒水饮料
八宝粥,是,是-早上的,4.0,食物,酒水饮料
八宝粥,像,像-粥,4.0,食物,酒水饮料
八宝粥,需要,需要-水,4.0,食物,酒水饮料
八宝粥,有,有-花生米,4.0,食物,酒水饮料
八宝粥,有,有-米,4.0,食物,酒水饮料
八宝粥,可以,可以-饱腹,3.0,食物,酒水饮料
八宝粥,像,像-红豆粥,3.0,食物,酒水饮料
八宝粥,需要,需要-加热,3.0,食物,酒水饮料
八宝粥,需要,需要-买,3.0,食物,酒水饮料
八宝粥,需要,需要-糖,3.0,食物,酒水饮料
八宝粥,有,有-红豆,3.0,食物,酒水饮料
八宝粥,有,有-营养,3.0,食物,酒水饮料
八宝粥,可以,可以-补充体力,2.0,食物,酒水饮料
八宝粥,可以,可以-充饥,2.0,食物,酒水饮料
八宝粥,可以,可以-健脾养胃,2.0,食物,酒水饮料
八宝粥,可以,可以-养生,2.0,食物,酒水饮料
八宝粥,可以,可以-益气安神,2.0,食物,酒水饮料
八宝粥,是,是-多谷物的,2.0,食物,酒水饮料
八宝粥,是,是-好吃的,2.0,食物,酒水饮料
八宝粥,是,是-腊八节,2.0,食物,酒水饮料
八宝粥,是,是-粮食,2.0,食物,酒水饮料
八宝粥,是,是-零食,2.0,食物,酒水饮料
八宝粥,是,是-浓稠的,2.0,食物,酒水饮料
八宝粥,是,是-稀饭,2.0,食物,酒水饮料
八宝粥,像,像-稀饭,2.0,食物,酒水饮料
八宝粥,需要,需要-米,2.0,食物,酒水饮料
八宝粥,需要,需要-烹饪,2.0,食物,酒水饮料
八宝粥,有,有-八种谷物,2.0,食物,酒水饮料
八宝粥,有,有-蛋白质,2.0,食物,酒水饮料
八宝粥,有,有-核桃,2.0,食物,酒水饮料
八宝粥,有,有-黑米,2.0,食物,酒水饮料
八宝粥,有,有-葡萄干,2.0,食物,酒水饮料
八宝粥,有,有-水,2.0,食物,酒水饮料
八宝粥,有,有-薏米,2.0,食物,酒水饮料
八宝粥,有,有-银耳,2.0,食物,酒水饮料
八哥,是,是-鸟,24.1935483870968,动物,鸟
八哥,需要,需要-食物,21.2903225806452,动物,鸟
八哥,有,有-翅膀,17.4193548387097,动物,鸟
八哥,可以,可以-飞,16.4516129032258,动物,鸟
八哥,需要,需要-水,16.4516129032258,动物,鸟
八哥,有,有-嘴巴,14.5161290322581,动物,鸟
八哥,是,是-动物,13.5483870967742,动物,鸟
八哥,有,有-羽毛,13.5483870967742,动物,鸟
八哥,像,像-鹦鹉,8.70967741935484,动物,鸟
八哥,可以,可以-学人说话,7.74193548387097,动物,鸟
八哥,像,像-乌鸦,6.7741935483871,动物,鸟
八哥,需要,需要-空气,6.7741935483871,动物,鸟
八哥,有,有-爪子,6.7741935483871,动物,鸟
八哥,可以,可以-说话,5.80645161290323,动物,鸟
八哥,是,是-鹦鹉,5.80645161290323,动物,鸟
八哥,是,是-黑色的,4.83870967741935,动物,鸟
八哥,像,像-麻雀,4.83870967741935,动物,鸟
八哥,需要,需要-睡觉,4.83870967741935,动物,鸟
八哥,有,有-眼睛,4.83870967741935,动物,鸟
八哥,需要,需要-虫,3.87096774193548,动物,鸟
八哥,需要,需要-饲养,3.87096774193548,动物,鸟
八哥,有,有-喙,3.87096774193548,动物,鸟
八哥,可以,可以-叫,2.90322580645161,动物,鸟
八哥,是,是-宠物,2.90322580645161,动物,鸟
八哥,是,是-聪明的,2.90322580645161,动物,鸟
八哥,像,像-复读机,2.90322580645161,动物,鸟
八哥,需要,需要-鸟笼,2.90322580645161,动物,鸟
八哥,有,有-多种种类,2.90322580645161,动物,鸟
八哥,有,有-脚,2.90322580645161,动物,鸟
八哥,有,有-毛,2.90322580645161,动物,鸟
八哥,有,有-舌头,2.90322580645161,动物,鸟
八哥,有,有-头,2.90322580645161,动物,鸟
八哥,有,有-腿,2.90322580645161,动物,鸟
八哥,有,有-尾巴,2.90322580645161,动物,鸟
八哥,可以,可以-唱歌,1.93548387096774,动物,鸟
八哥,可以,可以-观赏,1.93548387096774,动物,鸟
八哥,可以,可以-学话,1.93548387096774,动物,鸟
八哥,可以,可以-学说话,1.93548387096774,动物,鸟
八哥,其他,其他-会学人说话,1.93548387096774,动物,鸟
八哥,是,是-吵闹的,1.93548387096774,动物,鸟
八哥,像,像-鸽子,1.93548387096774,动物,鸟
八哥,需要,需要-保护,1.93548387096774,动物,鸟
八哥,需要,需要-投喂,1.93548387096774,动物,鸟
八哥,需要,需要-阳光,1.93548387096774,动物,鸟
八哥,有,有-尖嘴巴,1.93548387096774,动物,鸟
八哥,有,有-牙齿,1.93548387096774,动物,鸟
巴士,是,是-工具,17.5862068965517,交通工具,车
巴士,其他,其他-交通,16.551724137931,交通工具,车
巴士,有,有-座位,16.551724137931,交通工具,车
巴士,是,是-车,15.5172413793104,交通工具,车
巴士,有,有-轮胎,13.448275862069,交通工具,车
巴士,有,有-窗户,10.3448275862069,交通工具,车
巴士,需要,需要-汽油,9.31034482758621,交通工具,车
巴士,需要,需要-司机,9.31034482758621,交通工具,车
巴士,是,是-公共的,8.27586206896552,交通工具,车
巴士,需要,需要-油,8.27586206896552,交通工具,车
巴士,是,是-大的,7.24137931034483,交通工具,车
巴士,像,像-面包,7.24137931034483,交通工具,车
巴士,需要,需要-电,6.20689655172414,交通工具,车
巴士,需要,需要-加油,6.20689655172414,交通工具,车
巴士,有,有-司机,6.20689655172414,交通工具,车
巴士,可以,可以-乘坐,5.17241379310345,交通工具,车
巴士,像,像-盒子,5.17241379310345,交通工具,车
巴士,有,有-方向盘,5.17241379310345,交通工具,车
巴士,可以,可以-行驶,4.13793103448276,交通工具,车
巴士,是,是-方便的,4.13793103448276,交通工具,车
巴士,需要,需要-维护,4.13793103448276,交通工具,车
巴士,需要,需要-修理,4.13793103448276,交通工具,车
巴士,可以,可以-代步,3.10344827586207,交通工具,车
巴士,可以,可以-驾驶,3.10344827586207,交通工具,车
巴士,像,像-公交车,3.10344827586207,交通工具,车
巴士,有,有-空调,3.10344827586207,交通工具,车
巴士,可以,可以-行走,2.06896551724138,交通工具,车
巴士,可以,可以-移动,2.06896551724138,交通工具,车
巴士,是,是-长方体,2.06896551724138,交通工具,车
巴士,像,像-地铁,2.06896551724138,交通工具,车
巴士,像,像-房屋,2.06896551724138,交通工具,车
巴士,像,像-文具盒,2.06896551724138,交通工具,车
巴士,需要,需要-保养,2.06896551724138,交通工具,车
巴士,需要,需要-驾驶,2.06896551724138,交通工具,车
巴士,需要,需要-能源,2.06896551724138,交通工具,车
巴士,需要,需要-清洗,2.06896551724138,交通工具,车
巴士,需要,需要-燃料,2.06896551724138,交通工具,车
巴士,需要,需要-收费,2.06896551724138,交通工具,车
巴士,有,有-刹车,2.06896551724138,交通工具,车
巴士,有,有-车厢,2.06896551724138,交通工具,车
巴士,有,有-乘客,2.06896551724138,交通工具,车
巴士,有,有-多种型号,2.06896551724138,交通工具,车
巴士,有,有-多种种类,2.06896551724138,交通工具,车
巴士,有,有-扶手,2.06896551724138,交通工具,车
巴士,有,有-驾驶室,2.06896551724138,交通工具,车
巴士,有,有-路线,2.06896551724138,交通工具,车
巴士,有,有-轮子,2.06896551724138,交通工具,车
巴士,有,有-售票员,2.06896551724138,交通工具,车
巴士,有,有-四个轮子,2.06896551724138,交通工具,车
巴士,有,有-台阶,2.06896551724138,交通工具,车
芭蕾舞裙,可以,可以-穿,24.1935483870968,人造物,服饰
芭蕾舞裙,是,是-服饰,12.5806451612903,人造物,服饰
芭蕾舞裙,是,是-裙子,12.5806451612903,人造物,服饰
芭蕾舞裙,是,是-衣服,10.6451612903226,人造物,服饰
芭蕾舞裙,有,有-布,8.70967741935484,人造物,服饰
芭蕾舞裙,有,有-裙摆,8.70967741935484,人造物,服饰
芭蕾舞裙,是,是-好看的,7.74193548387097,人造物,服饰
芭蕾舞裙,可以,可以-跳舞,6.7741935483871,人造物,服饰
芭蕾舞裙,需要,需要-制造,6.7741935483871,人造物,服饰
芭蕾舞裙,有,有-多种样式,6.7741935483871,人造物,服饰
芭蕾舞裙,是,是-白色的,5.80645161290323,人造物,服饰
芭蕾舞裙,像,像-花,5.80645161290323,人造物,服饰
芭蕾舞裙,有,有-蕾丝,5.80645161290323,人造物,服饰
芭蕾舞裙,像,像-天鹅,4.83870967741935,人造物,服饰
芭蕾舞裙,需要,需要-买,4.83870967741935,人造物,服饰
芭蕾舞裙,需要,需要-设计,4.83870967741935,人造物,服饰
芭蕾舞裙,是,是-短的,3.87096774193548,人造物,服饰
芭蕾舞裙,像,像-伞,3.87096774193548,人造物,服饰
芭蕾舞裙,需要,需要-清洗,3.87096774193548,人造物,服饰
芭蕾舞裙,有,有-多种颜色,3.87096774193548,人造物,服饰
芭蕾舞裙,有,有-设计,3.87096774193548,人造物,服饰
芭蕾舞裙,可以,可以-表演,2.90322580645161,人造物,服饰
芭蕾舞裙,是,是-粉红色的,2.90322580645161,人造物,服饰
芭蕾舞裙,是,是-跳芭蕾的,2.90322580645161,人造物,服饰
芭蕾舞裙,像,像-短裙,2.90322580645161,人造物,服饰
芭蕾舞裙,像,像-裙子,2.90322580645161,人造物,服饰
芭蕾舞裙,需要,需要-缝纫,2.90322580645161,人造物,服饰
芭蕾舞裙,有,有-纱,2.90322580645161,人造物,服饰
芭蕾舞裙,可以,可以-观赏,1.93548387096774,人造物,服饰
芭蕾舞裙,可以,可以-跳芭蕾舞时穿的裙子,1.93548387096774,人造物,服饰
芭蕾舞裙,其他,其他-女人,1.93548387096774,人造物,服饰
芭蕾舞裙,是,是-纱制品,1.93548387096774,人造物,服饰
芭蕾舞裙,是,是-跳舞的,1.93548387096774,人造物,服饰
芭蕾舞裙,是,是-优雅的,1.93548387096774,人造物,服饰
芭蕾舞裙,像,像-礼服,1.93548387096774,人造物,服饰
芭蕾舞裙,像,像-蓬蓬裙,1.93548387096774,人造物,服饰
芭蕾舞裙,有,有-上衣,1.93548387096774,人造物,服饰
芭蕾舞裙,有,有-线,1.93548387096774,人造物,服饰
芭蕾舞裙,有,有-长的,1.93548387096774,人造物,服饰
霸王龙,需要,需要-食物,23.5714285714286,动物,陆生动物
霸王龙,是,是-动物,18.2142857142857,动物,陆生动物
霸王龙,有,有-牙齿,18.2142857142857,动物,陆生动物
霸王龙,是,是-恐龙,15.0,动物,陆生动物
霸王龙,是,是-肉食类,13.9285714285714,动物,陆生动物
霸王龙,需要,需要-水,13.9285714285714,动物,陆生动物
霸王龙,有,有-尾巴,13.9285714285714,动物,陆生动物
霸王龙,是,是-大的,12.8571428571429,动物,陆生动物
霸王龙,需要,需要-空气,11.7857142857143,动物,陆生动物
霸王龙,有,有-四肢,11.7857142857143,动物,陆生动物
霸王龙,是,是-凶的,8.57142857142857,动物,陆生动物
霸王龙,有,有-爪子,8.57142857142857,动物,陆生动物
霸王龙,可以,可以-捕猎,7.5,动物,陆生动物
霸王龙,是,是-灭绝的,7.5,动物,陆生动物
霸王龙,有,有-嘴巴,7.5,动物,陆生动物
霸王龙,需要,需要-阳光,6.42857142857143,动物,陆生动物
霸王龙,可以,可以-奔跑,5.35714285714286,动物,陆生动物
霸王龙,可以,可以-跑,5.35714285714286,动物,陆生动物
霸王龙,需要,需要-呼吸,5.35714285714286,动物,陆生动物
霸王龙,有,有-锋利的牙齿,5.35714285714286,动物,陆生动物
霸王龙,有,有-眼睛,5.35714285714286,动物,陆生动物
霸王龙,是,是-粗糙的,4.28571428571429,动物,陆生动物
霸王龙,像,像-鳄鱼,4.28571428571429,动物,陆生动物
霸王龙,需要,需要-睡觉,4.28571428571429,动物,陆生动物
霸王龙,有,有-尖牙,4.28571428571429,动物,陆生动物
霸王龙,有,有-腿,4.28571428571429,动物,陆生动物
霸王龙,可以,可以-繁衍,3.21428571428571,动物,陆生动物
霸王龙,可以,可以-跳,3.21428571428571,动物,陆生动物
霸王龙,是,是-锋利的,3.21428571428571,动物,陆生动物
霸王龙,是,是-爬行类,3.21428571428571,动物,陆生动物
霸王龙,像,像-恐龙,3.21428571428571,动物,陆生动物
霸王龙,像,像-龙,3.21428571428571,动物,陆生动物
霸王龙,像,像-蜥蜴,3.21428571428571,动物,陆生动物
霸王龙,有,有-骨骼,3.21428571428571,动物,陆生动物
霸王龙,有,有-头,3.21428571428571,动物,陆生动物
霸王龙,可以,可以-吃人,2.14285714285714,动物,陆生动物
霸王龙,可以,可以-观赏,2.14285714285714,动物,陆生动物
霸王龙,是,是-白垩纪,2.14285714285714,动物,陆生动物
霸王龙,是,是-远古生物,2.14285714285714,动物,陆生动物
