Concept,Rel,Feature,Frequency,
霸王龙,是,是-恐龙,15,
霸王龙,是,是-肉食类,13.9285714285714,
霸王龙,需要,需要-水,13.9285714285714,
霸王龙,有,有-尾巴,13.9285714285714,
霸王龙,是,是-大的,12.8571428571429,
霸王龙,需要,需要-空气,11.7857142857143,
霸王龙,有,有-四肢,11.7857142857143,
霸王龙,是,是-凶的,8.57142857142857,
霸王龙,有,有-爪子,8.57142857142857,
霸王龙,可以,可以-捕猎,7.5,
霸王龙,是,是-灭绝的,7.5,
霸王龙,有,有-嘴巴,7.5,
霸王龙,需要,需要-阳光,6.42857142857143,
霸王龙,可以,可以-奔跑,5.35714285714286,
霸王龙,可以,可以-跑,5.35714285714286,
霸王龙,需要,需要-呼吸,5.35714285714286,
霸王龙,有,有-锋利的牙齿,5.35714285714286,
霸王龙,有,有-眼睛,5.35714285714286,
霸王龙,是,是-粗糙的,4.28571428571429,
霸王龙,像,像-鳄鱼,4.28571428571429,
霸王龙,需要,需要-睡觉,4.28571428571429,
霸王龙,有,有-尖牙,4.28571428571429,
霸王龙,有,有-腿,4.28571428571429,
霸王龙,可以,可以-繁衍,3.21428571428571,
霸王龙,可以,可以-跳,3.21428571428571,
霸王龙,是,是-锋利的,3.21428571428571,
霸王龙,是,是-爬行类,3.21428571428571,
霸王龙,像,像-恐龙,3.21428571428571,
霸王龙,像,像-龙,3.21428571428571,
霸王龙,像,像-蜥蜴,3.21428571428571,
霸王龙,有,有-骨骼,3.21428571428571,
霸王龙,有,有-头,3.21428571428571,
霸王龙,可以,可以-吃人,2.14285714285714,
霸王龙,可以,可以-观赏,2.14285714285714,
霸王龙,是,是-白垩纪,2.14285714285714,
霸王龙,是,是-远古生物,2.14285714285714,
霸王龙,像,像-袋鼠,2.14285714285714,
霸王龙,像,像-怪兽,2.14285714285714,
霸王龙,像,像-老虎,2.14285714285714,
霸王龙,像,像-山,2.14285714285714,
霸王龙,像,像-狮子,2.14285714285714,
霸王龙,像,像-树皮,2.14285714285714,
霸王龙,像,像-战争,2.14285714285714,
霸王龙,需要,需要-栖息地,2.14285714285714,
霸王龙,有,有-大脑,2.14285714285714,
霸王龙,有,有-大嘴巴,2.14285714285714,
吧台,可以,可以-喝酒,10.7142857142857,
吧台,有,有-酒,10.7142857142857,
吧台,其他,其他-酒吧,8.57142857142857,
吧台,像,像-桌子,5.35714285714286,
吧台,需要,需要-擦,5.35714285714286,
吧台,可以,可以-聊天,4.28571428571429,
吧台,是,是-场所,4.28571428571429,
吧台,是,是-桌子,4.28571428571429,
吧台,需要,需要-钱,4.28571428571429,
吧台,有,有-杯子,4.28571428571429,
吧台,有,有-服务生,4.28571428571429,
吧台,有,有-调酒师,4.28571428571429,
吧台,是,是-条状的,3.21428571428571,
吧台,可以,可以-点单,2.14285714285714,
吧台,是,是-台,2.14285714285714,
吧台,是,是-台子,2.14285714285714,
吧台,是,是-硬的,2.14285714285714,
吧台,是,是-长的,2.14285714285714,
吧台,像,像-餐桌,2.14285714285714,
吧台,需要,需要-调酒师,2.14285714285714,
吧台,有,有-酒保,2.14285714285714,
吧台,有,有-椅子,2.14285714285714,
吧台,有,有-桌面,2.14285714285714,
吧台,有,有-座位,2.14285714285714,
白菜,是,是-蔬菜,23.5714285714286,
白菜,可以,可以-食用,17.1428571428571,
白菜,是,是-植物,16.0714285714286,
白菜,有,有-叶子,16.0714285714286,
白菜,需要,需要-水,13.9285714285714,
白菜,需要,需要-阳光,11.7857142857143,
白菜,是,是-白色的,10.7142857142857,
白菜,是,是-食物,10.7142857142857,
白菜,有,有-菜叶,9.64285714285714,
白菜,是,是-绿色的,8.57142857142857,
白菜,需要,需要-空气,8.57142857142857,
白菜,有,有-根,8.57142857142857,
白菜,可以,可以-炒,7.5,
白菜,需要,需要-肥料,7.5,
白菜,需要,需要-土,7.5,
白菜,有,有-水,5.35714285714286,
白菜,有,有-维生素,4.28571428571429,
白菜,是,是-黄色的,3.21428571428571,
白菜,是,是-青菜,3.21428571428571,
白菜,像,像-卷心菜,3.21428571428571,
白菜,像,像-青菜,3.21428571428571,
白菜,像,像-娃娃菜,3.21428571428571,
白菜,像,像-玉石,3.21428571428571,
白菜,需要,需要-呼吸,3.21428571428571,
白菜,需要,需要-清洗,3.21428571428571,
白菜,需要,需要-种植,3.21428571428571,
白菜,有,有-菜根,3.21428571428571,
白菜,有,有-茎,3.21428571428571,
白菜,有,有-纤维,3.21428571428571,
白菜,有,有-营养,3.21428571428571,
白菜,可以,可以-切,2.14285714285714,
白菜,可以,可以-腌制,2.14285714285714,
白菜,是,是-土中生长的,2.14285714285714,
白菜,是,是-椭圆形,2.14285714285714,
白菜,像,像-包菜,2.14285714285714,
白菜,像,像-翡翠,2.14285714285714,
白菜,像,像-花,2.14285714285714,
白菜,像,像-胖娃娃,2.14285714285714,
白菜,像,像-球,2.14285714285714,
白菜,需要,需要-买,2.14285714285714,
白菜,需要,需要-杀虫,2.14285714285714,
白菜,需要,需要-生长,2.14285714285714,
白菜,有,有-白菜帮,2.14285714285714,
白菜,有,有-帮子,2.14285714285714,
白菜,有,有-菜心,2.14285714285714,
白菜,有,有-多种种类,2.14285714285714,
白饭,是,是-食物,22,
白饭,是,是-白色的,18,
白饭,可以,可以-食用,17,
白饭,需要,需要-煮,13,
白饭,是,是-主食,10,
白饭,有,有-大米,6,
白饭,有,有-米,6,
白饭,可以,可以-饱腹,5,
白饭,是,是-粮食,5,
白饭,是,是-甜的,5,
白饭,是,是-香的,5,
白饭,有,有-淀粉,5,
白饭,可以,可以-炒,4,
白饭,是,是-米饭,4,
白饭,像,像-雪,4,
白饭,可以,可以-炒饭,3,
白饭,可以,可以-充饥,3,
白饭,是,是-健康的,3,
白饭,是,是-颗粒的,3,
白饭,像,像-面粉,3,
白饭,像,像-沙,3,
白饭,需要,需要-熬,3,
白饭,需要,需要-烹饪,3,
白饭,需要,需要-水,3,
白饭,有,有-水,3,
白饭,有,有-营养,3,
白饭,可以,可以-饮用,2,
白饭,是,是-谷物,2,
白饭,是,是-能量,2,
白饭,是,是-软糯的,2,
白饭,是,是-水稻,2,
白饭,像,像-米饭,2,
白饭,像,像-蛆,2,
白饭,像,像-山,2,
白饭,像,像-玉石,2,
白饭,像,像-珍珠,2,
白饭,需要,需要-加工,2,
白饭,需要,需要-蒸,2,
白饭,需要,需要-种植,2,
白饭,需要,需要-煮熟,2,
白饭,有,有-能量,2,
白饭,有,有-热量,2,
白饭,有,有-碳水化合物,2,
白果,可以,可以-食用,15,
白果,是,是-食物,13,
白果,是,是-药,12,
白果,是,是-白色的,8,
白果,是,是-果实,8,
白果,有,有-果肉,8,
白果,有,有-壳,8,
白果,是,是-植物,7,
白果,需要,需要-阳光,7,
白果,有,有-果核,7,
白果,需要,需要-清洗,6,
白果,需要,需要-种植,6,
白果,有,有-果皮,6,
白果,是,是-臭的,5,
白果,是,是-银杏果,5,
白果,需要,需要-水,5,
白果,需要,需要-土,5,
白果,有,有-营养,5,
白果,是,是-坚果,4,
白果,是,是-圆形,4,
白果,是,是-种子,4,
白果,像,像-开心果,4,
白果,需要,需要-采摘,4,
白果,需要,需要-空气,4,
白果,有,有-皮,4,
白果,可以,可以-观赏,3,
白果,是,是-黄色的,3,
白果,像,像-球,3,
白果,像,像-杏仁,3,
白果,像,像-杏子,3,
白果,需要,需要-剥开,3,
白果,需要,需要-营养,3,
白果,有,有-毒,3,
白果,是,是-果,2,
白果,是,是-苦的,2,
白果,是,是-水果,2,
白果,是,是-银杏的,2,
白果,是,是-银杏的果实,2,
白果,像,像-橄榄,2,
白果,像,像-樱桃,2,
白果,需要,需要-摘,2,
白果,有,有-果壳,2,
白果,有,有-味道,2,
白桦树,是,是-植物,20,
白桦树,是,是-树,18,
白桦树,需要,需要-阳光,18,
白桦树,需要,需要-水,17,
白桦树,有,有-树干,17,
白桦树,有,有-叶子,15,
白桦树,有,有-根,13,
白桦树,可以,可以-观赏,12,
白桦树,需要,需要-土,10,
白桦树,有,有-树枝,10,
白桦树,是,是-大的,9,
白桦树,需要,需要-空气,9,
白桦树,是,是-白色的,8,
白桦树,是,是-高的,8,
白桦树,像,像-白杨,8,
白桦树,有,有-树叶,8,
白桦树,有,有-树皮,7,
白桦树,是,是-高大的,6,
白桦树,有,有-树根,6,
白桦树,可以,可以-挡风,5,
白桦树,可以,可以-固沙,5,
白桦树,需要,需要-种植,5,
白桦树,可以,可以-光合作用,4,
白桦树,可以,可以-净化空气,4,
白桦树,像,像-电线杆,4,
白桦树,像,像-士兵,4,
白桦树,像,像-杨树,4,
白桦树,有,有-枝干,4,
白桦树,可以,可以-美化环境,3,
白桦树,可以,可以-生长,3,
白桦树,是,是-落叶乔木,3,
白桦树,需要,需要-保护,3,
白桦树,需要,需要-营养,3,
白桦树,可以,可以-保护环境,2,
白桦树,其他,其他-俄罗斯,2,
白桦树,是,是-绿色的,2,
白桦树,是,是-乔木,2,
白桦树,是,是-树木,2,
白桦树,是,是-直的,2,
白桦树,像,像-旗杆,2,
白桦树,像,像-人,2,
白桦树,像,像-树,2,
白桦树,像,像-松树,2,
白桦树,有,有-茎,2,
白桦树,有,有-氧气,2,
白酒,可以,可以-饮用,20.3571428571429,
白酒,有,有-酒精,17.1428571428571,
白酒,是,是-酒,16.0714285714286,
白酒,像,像-水,13.9285714285714,
白酒,是,是-液体,11.7857142857143,
