head,relation,tail
柑橘,可以,冲泡
柑橘,其他,富含维生素
柑橘,其他,橘生淮北则为枳
柑橘,其他,橘生淮南则为橘
柑橘,是,好吃的
柑橘,是,清香的
柑橘,是,药
柑橘,像,灯笼
柑橘,像,桔子
柑橘,像,芦柑
柑橘,像,柿子
柑橘,需要,肥料
柑橘,有,多种型号
柑橘,有,多种种类
柑橘,有,果核
高速公路,是,道路
高速公路,需要,维护
高速公路,可以,行驶
高速公路,是,公共的
高速公路,像,带子
高速公路,需要,收费
高速公路,需要,修建
高速公路,可以,高速行驶
高速公路,是,便捷的
高速公路,是,宽广的
高速公路,是,直的
高速公路,需要,保养
高速公路,有,沥青
高速公路,有,收费站
高速公路,可以,开车
高速公路,可以,快速行驶
高速公路,其他,交通
高速公路,是,黑色的
高速公路,是,通道
高速公路,是,弯的
高速公路,像,地毯
高速公路,像,公路
高速公路,需要,建设
高速公路,需要,限速
高速公路,有,油漆
鸽子,有,翅膀
鸽子,需要,水
鸽子,有,羽毛
鸽子,有,嘴巴
鸽子,可以,送信
鸽子,有,爪子
鸽子,需要,睡觉
鸽子,是,白色的
鸽子,需要,空气
鸽子,像,麻雀
鸽子,需要,保护
鸽子,需要,谷物
鸽子,有,多种颜色
鸽子,可以,传信
鸽子,是,生物
鸽子,像,飞机
鸽子,像,喜鹊
鸽子,像,燕子
鸽子,需要,训练
鸽子,有,多种种类
鸽子,有,脚
鸽子,可以,传递信息
鸽子,可以,认家
鸽子,其他,和平
鸽子,是,聪明的
鸽子,是,和平的
鸽子,是,灰色的
鸽子,是,家养的
鸽子,是,象征
鸽子,像,大雁
鸽子,像,鸡
鸽子,需要,阳光
鸽子,有,尖嘴巴
鸽子,有,尾巴
拐杖,是,棍棒
拐杖,是,木的
拐杖,有,把手
拐杖,是,金属
拐杖,可以,买卖
拐杖,是,长的
拐杖,可以,行走
拐杖,有,多种材质
拐杖,可以,打人
拐杖,是,弯的
拐杖,可以,辅助走路
拐杖,是,硬的
拐杖,是,用品
拐杖,像,竹子
拐杖,需要,保养
拐杖,需要,设计
拐杖,可以,辅助行走
拐杖,可以,拿
拐杖,可以,探路
拐杖,是,器材
拐杖,是,条状的
拐杖,是,医疗用品
拐杖,像,伞
拐杖,像,伞柄
拐杖,需要,支撑
拐杖,有,多种样式
拐杖,有,多种种类
拐杖,有,油漆
猴子,像,人
猴子,有,尾巴
猴子,有,眼睛
猴子,需要,保护
猴子,需要,水
猴子,有,鼻子
猴子,需要,香蕉
猴子,可以,跳
猴子,是,聪明的
猴子,有,四肢
猴子,有,嘴巴
猴子,可以,爬树
猴子,像,猩猩
猴子,需要,睡觉
猴子,有,红屁股
猴子,有,长尾巴
猴子,可以,娱乐
猴子,是,好动的
猴子,是,灵长类
猴子,是,玩具
猴子,像,毛绒玩具
猴子,需要,空气
猴子,有,皮肤
猴子,有,手臂
黄瓜,是,绿色的
黄瓜,像,丝瓜
黄瓜,需要,水
黄瓜,是,长的
黄瓜,需要,种植
黄瓜,需要,土
黄瓜,有,皮
黄瓜,有,籽
黄瓜,可以,生吃
黄瓜,是,条状的
黄瓜,需要,采摘
黄瓜,像,棍棒
黄瓜,需要,空气
黄瓜,有,花
黄瓜,有,维生素
黄瓜,有,营养
黄瓜,需要,削皮
黄瓜,有,把手
黄瓜,有,瓜皮
黄瓜,有,瓜瓤
黄瓜,有,水
黄瓜,有,维生素C
黄瓜,可以,拌
黄瓜,可以,干吃
黄瓜,可以,腌制
黄瓜,是,细的
黄瓜,像,擀面杖
黄瓜,有,多种型号
黄瓜,有,多种颜色
黄瓜,有,根
黄瓜,有,瓤
火车,其他,交通
火车,是,工具
火车,有,车厢
火车,需要,司机
火车,有,车头
火车,需要,电
火车,有,轨道
火车,可以,乘坐
火车,需要,驾驶
火车,可以,行驶
火车,像,高铁
火车,需要,铁轨
火车,需要,维护
火车,可以,拉货
火车,需要,动力
火车,需要,买票
火车,需要,能源
火车,像,龙
火车,像,马车
火车,需要,燃料
火车,可以,运输
火车,可以,载人
火车,是,多节的
火车,是,公共的
火车,像,毛毛虫
火车,需要,清洗
火车,有,车身
火车,有,车尾
火车,有,动车
火车,有,高铁
夹克,是,衣服
夹克,可以,穿
夹克,需要,清洗
夹克,可以,保暖
夹克,有,袖子
夹克,有,袋子
夹克,可以,买卖
夹克,有,布
夹克,有,多种颜色
夹克,有,扣子
夹克,需要,制造
夹克,可以,御寒
夹克,需要,缝纫
夹克,可以,挡风
夹克,可以,运动
夹克,是,装备
夹克,有,领子
夹克,是,皮的
夹克,是,上衣
夹克,像,冲锋衣
夹克,需要,爱护
夹克,需要,设计
夹克,需要,透气
夹克,可以,防水
夹克,是,户外的
夹克,是,酷的
夹克,是,生活用品
夹克,需要,晾干
夹克,有,多种材质
夹克,有,多种品牌
肩膀,其他,人
肩膀,有,肉
肩膀,需要,保护
肩膀,可以,背
肩膀,可以,扛东西
肩膀,可以,靠
肩膀,是,胳膊
肩膀,有,关节
肩膀,有,血管
肩膀,是,宽的
肩膀,像,膝盖
肩膀,需要,按摩
肩膀,需要,运动
肩膀,有,肌肉
肩膀,可以,负重
肩膀,像,山
肩膀,像,手肘
肩膀,需要,清洗
肩膀,有,两个
剪刀,有,把手
剪刀,可以,剪东西
剪刀,需要,小心
剪刀,有,刀刃
剪刀,可以,拆快递
剪刀,可以,剪裁
剪刀,可以,剪纸
剪刀,可以,使用
剪刀,是,尖的
剪刀,是,塑料
剪刀,像,燕子的尾巴
剪刀,有,多种型号
剪刀,有,多种颜色
剪刀,有,螺丝
剪刀,可以,裁剪
剪刀,可以,裁剪东西
剪刀,可以,剪头发
剪刀,可以,切割
剪刀,是,常见的
剪刀,需要,擦
剪刀,需要,清洗
剪刀,需要,铁
剪刀,有,多种材质
剪刀,有,多种功能
剪刀,有,多种样式
脚后跟,是,脚
脚后跟,有,皮肤
脚后跟,需要,保护
脚后跟,有,骨骼
脚后跟,有,肉
脚后跟,其他,人
脚后跟,需要,清洗
脚后跟,有,血管
脚后跟,是,器官
脚后跟,有,关节
脚后跟,可以,行走
脚后跟,需要,穿袜子
脚后跟,有,死皮
脚后跟,是,厚的
脚后跟,是,组织
轿车,有,轮子
轿车,是,工具
轿车,有,座位
轿车,需要,汽油
轿车,需要,油
轿车,可以,代步
轿车,需要,保养
轿车,有,车身
轿车,有,窗户
轿车,可以,乘坐
轿车,需要,电
轿车,需要,加油
轿车,有,方向盘
轿车,可以,开
轿车,像,房屋
轿车,需要,司机
轿车,有,门
轿车,像,面包车
轿车,有,车厢
轿车,有,引擎
轿车,有,油门
轿车,可以,行驶
轿车,可以,买卖
轿车,可以,运输
轿车,是,家里的
轿车,是,金属
轿车,像,马车
轿车,像,跑车
轿车,需要,燃料
轿车,有,车牌
轿车,有,挡风玻璃
轿车,有,多种颜色
轿车,有,轱辘
轿车,有,四个车轮
轿车,有,四个轮子
韭菜,像,草
韭菜,需要,土
韭菜,需要,阳光
韭菜,像,葱
韭菜,需要,空气
韭菜,可以,炒
韭菜,需要,清洗
韭菜,有,茎
韭菜,需要,营养
韭菜,有,味道
韭菜,是,臭的
韭菜,像,大蒜
韭菜,像,麦子
韭菜,像,蒜苗
韭菜,需要,肥料
韭菜,需要,烹饪
卡车,有,轮子
卡车,可以,运输
卡车,其他,交通
卡车,需要,保养
卡车,需要,加油
卡车,需要,驾驶
卡车,需要,汽油
卡车,需要,维护
卡车,有,车身
卡车,有,驾驶室
卡车,可以,拉货
卡车,需要,修理
卡车,有,发动机
卡车,可以,搬运
卡车,可以,开
卡车,需要,动力
卡车,需要,检查
卡车,需要,制造
卡车,有,车头
卡车,有,方向盘
卡车,有,油箱
卡车,有,载货箱
裤子,可以,穿
裤子,是,衣服
裤子,有,布
裤子,可以,保暖
裤子,有,裤腿
裤子,有,多种样式
裤子,可以,买卖
裤子,需要,缝纫
裤子,有,多种颜色
裤子,有,多种种类
裤子,有,裤腰
裤子,有,拉链
裤子,是,下衣
裤子,像,裙子
裤子,需要,熨烫
裤子,需要,制造
裤子,有,线
裤子,是,长的
裤子,有,多种型号
裤子,有,两条腿
裤子,有,腿
裤子,可以,保护
裤子,有,短裤
裤子,有,多种材质
裤子,有,扣子
裤子,有,牛仔裤
裤子,有,长裤
筷子,是,木的
筷子,可以,进食
筷子,像,棍棒
筷子,是,金属
筷子,需要,清洗
筷子,是,成对的
筷子,是,长的
筷子,可以,夹食物
筷子,是,生活用品
筷子,有,多种长度
筷子,有,多种种类
筷子,可以,夹东西
筷子,需要,制造
筷子,可以,夹取食物
筷子,是,日常的
筷子,是,塑料
筷子,是,陶瓷
筷子,像,指挥棒
筷子,有,两根
老虎,可以,捕猎
老虎,像,猫
老虎,有,四肢
老虎,有,牙齿
老虎,是,凶的
老虎,有,毛
老虎,需要,水
老虎,有,尾巴
老虎,可以,跑
老虎,有,嘴巴
老虎,是,哺乳类
老虎,有,眼睛
老虎,有,耳朵
老虎,有,花纹
老虎,有,皮肤
老虎,是,大的
老虎,有,爪子
老虎,可以,观赏
老虎,是,锋利的
老虎,像,豹子
老虎,需要,呼吸
老虎,可以,爬
老虎,是,猫科
老虎,需要,肉
老虎,有,多种种类
老虎,可以,称王
老虎,可以,繁衍
老虎,可以,跳
老虎,可以,咬
老虎,可以,咬人
老虎,可以,游泳
老虎,是,生物
老虎,需要,森林
老虎,需要,饲养
老虎,有,大脑
老鼠,有,尾巴
老鼠,有,眼睛
老鼠,需要,水
老鼠,有,毛
老鼠,有,牙齿
老鼠,有,四肢
老鼠,可以,打洞
老鼠,是,哺乳类
老鼠,需要,睡觉
老鼠,是,小的
老鼠,有,皮肤
老鼠,是,灰色的
老鼠,是,啮齿类
老鼠,有,鼻子
老鼠,有,胡子
老鼠,可以,传播疾病
老鼠,可以,偷吃东西
老鼠,有,爪子
老鼠,可以,跑
老鼠,是,白色的
老鼠,是,生物
老鼠,是,有害的
老鼠,像,鼠标
老鼠,有,身体
老鼠,可以,啃木头
老鼠,可以,爬
老鼠,可以,偷吃粮食
老鼠,可以,偷吃食物
老鼠,可以,挖洞
老鼠,是,四害
老鼠,是,玩具
老鼠,像,鼹鼠
老鼠,需要,呼吸
老鼠,有,多种种类
老鼠,有,头
老鼠,有,须
老鼠,有,长尾巴
立交桥,是,桥
立交桥,是,道路
立交桥,其他,交通
立交桥,需要,维护
立交桥,是,复杂的
立交桥,有,车
立交桥,可以,通行
立交桥,是,大的
立交桥,需要,建造
立交桥,有,混凝土
立交桥,像,蜘蛛网
立交桥,需要,建
立交桥,有,钢筋
立交桥,有,柱子
萝卜,有,叶子
萝卜,需要,空气
萝卜,是,白色的
萝卜,需要,阳光
萝卜,有,根
萝卜,有,皮
萝卜,是,草本类
萝卜,像,胡罗卜
萝卜,有,维生素
萝卜,是,脆的
萝卜,是,绿色的
萝卜,像,棒槌
萝卜,有,多种颜色
萝卜,像,红薯
萝卜,需要,营养
萝卜,可以,拔
萝卜,可以,买卖
萝卜,可以,生吃
萝卜,可以,腌制
萝卜,是,根茎
萝卜,是,光滑的
萝卜,是,药
萝卜,像,钉子
萝卜,像,胡巴
萝卜,像,藕
萝卜,像,土豆
萝卜,有,多种种类
萝卜,有,胡萝卜素
萝卜,有,花
萝卜,有,茎
萝卜,有,纤维
萝卜,有,种子
麻雀,可以,飞
麻雀,有,嘴巴
麻雀,需要,空气
麻雀,有,爪子
麻雀,是,小的
麻雀,可以,叫
麻雀,是,棕色的
麻雀,需要,阳光
麻雀,有,头
麻雀,有,内脏
麻雀,是,灰色的
麻雀,需要,保护
麻雀,可以,捕虫
麻雀,是,禽类
麻雀,像,飞机
麻雀,像,鸽子
麻雀,像,喜鹊
麻雀,像,燕子
麻雀,有,多种种类
麻雀,有,两只脚
麻雀,有,身体
麻雀,有,四肢
麻雀,有,尾巴
马桶,有,盖子
马桶,像,椅子
马桶,有,水箱
马桶,是,白色的
马桶,有,水
马桶,是,桶
马桶,可以,排泄
马桶,是,生活用品
马桶,是,陶瓷
马桶,需要,安装
马桶,可以,买卖
马桶,需要,设计
马桶,需要,刷
马桶,需要,制造
马桶,可以,使用
马桶,是,日常的
马桶,是,上厕所用的
马桶,是,塑料
马桶,是,硬的
马桶,是,坐便器
马桶,像,箱子
马桶,需要,擦
马桶,需要,电
马桶,需要,消毒
马桶,有,按键
马桶,有,冲水按钮
马桶,有,马桶垫
马桶,有,桶盖
马桶,有,座位
猫头鹰,有,眼睛
猫头鹰,可以,飞
猫头鹰,有,翅膀
猫头鹰,像,猫
猫头鹰,有,羽毛
猫头鹰,有,嘴巴
猫头鹰,是,晚上的
猫头鹰,需要,睡觉
猫头鹰,可以,捕猎
猫头鹰,有,大眼睛
猫头鹰,其他,哈利波特
猫头鹰,需要,老鼠
猫头鹰,有,毛
猫头鹰,像,鹰
猫头鹰,需要,空气
猫头鹰,有,爪子
猫头鹰,是,禽类
猫头鹰,是,凶的
猫头鹰,是,有益的
猫头鹰,像,老鹰
猫头鹰,需要,水
猫头鹰,可以,捕老鼠
猫头鹰,可以,夜视
猫头鹰,是,可爱的
猫头鹰,是,生物
猫头鹰,需要,栖息地
猫头鹰,有,尖嘴巴
猫头鹰,有,脚
毛衣,是,衣服
毛衣,有,毛线
毛衣,可以,穿
毛衣,有,毛
毛衣,需要,制造
毛衣,像,秋衣
毛衣,可以,买卖
毛衣,可以,御寒
毛衣,需要,织
毛衣,是,纺织品
毛衣,像,卫衣
毛衣,可以,挡风
毛衣,是,白色的
毛衣,是,厚的
毛衣,是,生活用品
毛衣,像,大衣
毛衣,像,外套
毛衣,像,线衣
毛衣,像,针织衫
毛衣,需要,晾干
毛衣,需要,阳光
毛衣,有,纤维
毛衣,有,袖子
茅草屋,需要,草
茅草屋,是,房屋
茅草屋,需要,搭建
茅草屋,可以,挡雨
茅草屋,像,草丛
茅草屋,有,门
茅草屋,有,屋顶
茅草屋,是,屋子
茅草屋,有,窗户
茅草屋,可以,避雨
茅草屋,是,简陋的
茅草屋,需要,维护
茅草屋,有,墙
茅草屋,可以,挡风
茅草屋,可以,居住
茅草屋,需要,建造
茅草屋,有,空间
茅草屋,可以,御寒
茅草屋,其他,杜甫
茅草屋,是,脆弱的
茅草屋,需要,检查
茅草屋,有,泥土
茅草屋,有,人
茅草屋,有,土
摩托车,其他,交通
摩托车,可以,骑
摩托车,需要,油
摩托车,需要,加油
摩托车,有,把手
摩托车,有,发动机
摩托车,有,座位
摩托车,像,自行车
摩托车,需要,汽油
摩托车,像,电动车
摩托车,需要,驾驶
摩托车,需要,保养
摩托车,有,多种样式
摩托车,有,两个轮子
摩托车,可以,发声
摩托车,可以,耍酷
摩托车,是,危险的
摩托车,有,刹车
摩托车,有,排气管
摩托车,有,仪表盘
奶牛,是,黑色的
奶牛,是,白色的
奶牛,是,黑白的
奶牛,需要,草
奶牛,有,花纹
奶牛,可以,挤奶
奶牛,需要,水
奶牛,需要,饲养
奶牛,有,尾巴
奶牛,有,乳房
奶牛,像,斑马
奶牛,像,羊
奶牛,需要,空气
奶牛,需要,睡觉
奶牛,有,奶
奶牛,有,牛奶
奶牛,像,黄牛
奶牛,有,角
奶牛,有,四肢
奶牛,可以,生产牛奶
奶牛,是,家养的
奶牛,像,熊猫
奶牛,需要,保护
奶牛,需要,草料
奶牛,需要,喂草
奶牛,有,鼻子
喷泉,是,水
喷泉,可以,观赏
喷泉,可以,喷水
喷泉,是,景观
喷泉,需要,电
喷泉,像,水枪
喷泉,有,音乐
喷泉,是,设施
喷泉,有,灯光
喷泉,是,装饰
喷泉,有,喷头
喷泉,可以,娱乐
喷泉,是,泉水
喷泉,像,烟花
喷泉,需要,动力
喷泉,需要,建造
喷泉,有,多种样式
喷泉,其他,广场
喷泉,是,雕塑
喷泉,是,公共的
喷泉,像,水龙头
喷泉,需要,清理
喷泉,需要,维护
喷泉,需要,压力
喷泉,需要,压强
喷泉,有,出水口
喷泉,有,多种颜色
喷泉,有,孔
喷泉,有,喷嘴
喷泉,有,水泵
喷泉,有,水管
苹果,是,红色的
苹果,是,甜的
苹果,有,果核
苹果,有,果肉
苹果,需要,水
苹果,需要,削皮
苹果,需要,阳光
苹果,是,圆形
苹果,需要,土
苹果,需要,空气
苹果,是,绿色的
苹果,需要,清洗
苹果,是,脆的
苹果,是,健康的
苹果,是,香的
苹果,像,桃子
苹果,需要,肥料
苹果,有,水
苹果,有,维生素
苹果,可以,买卖
苹果,是,好吃的
苹果,像,灯笼
苹果,像,笑脸
苹果,像,心脏
苹果,需要,采摘
苹果,需要,收割
苹果,有,果汁
葡萄,有,籽
葡萄,是,甜的
葡萄,需要,水
葡萄,需要,种植
葡萄,有,果肉
葡萄,有,皮
葡萄,可以,酿酒
葡萄,需要,采摘
葡萄,需要,阳光
葡萄,需要,清洗
葡萄,是,绿色的
葡萄,是,酸的
葡萄,需要,空气
葡萄,需要,土
葡萄,有,葡萄皮
葡萄,可以,买卖
葡萄,像,球
葡萄,有,多种种类
葡萄,是,红色的
葡萄,像,提子
葡萄,需要,剥开
葡萄,有,营养
葡萄,像,宝石
葡萄,像,玛瑙
葡萄,像,眼睛
葡萄,像,珍珠
葡萄,有,多种型号
葡萄,有,果实
葡萄,有,糖
葡萄,有,维生素
葡萄,有,汁水
葡萄,可以,观赏
葡萄,可以,晒
葡萄,可以,生长
葡萄,其他,安胎
葡萄,需要,营养
葡萄,有,树枝
葡萄,有,水
葡萄,有,叶子
茄子,是,紫色的
茄子,需要,水
茄子,有,皮
茄子,可以,炒
茄子,需要,土
茄子,需要,空气
茄子,是,绿色的
茄子,是,圆形
茄子,需要,采摘
茄子,需要,烹饪
茄子,有,刺
茄子,有,果实
茄子,像,黄瓜
茄子,需要,肥料
茄子,需要,清洗
茄子,有,把手
茄子,可以,凉拌
茄子,可以,生长
茄子,是,瓜
茄子,是,条状的
茄子,像,气球
茄子,像,球
茄子,像,西红柿
茄子,像,月亮
茄子,有,果肉
茄子,有,茎
茄子,有,毛
茄子,有,维生素
人行天桥,是,桥
人行天桥,需要,维护
人行天桥,是,道路
人行天桥,需要,建造
人行天桥,有,台阶
人行天桥,可以,行走
人行天桥,其他,行人
人行天桥,是,设施
人行天桥,像,彩虹
人行天桥,有,扶手
人行天桥,可以,保护
人行天桥,是,安全的
人行天桥,是,通道
人行天桥,需要,修建
人行天桥,有,钢筋
人行天桥,有,桥面
人行天桥,其他,北京
人行天桥,其他,交通
人行天桥,是,便利的
人行天桥,可以,过马路
人行天桥,是,金属
人行天桥,是,空中的
人行天桥,是,天桥
人行天桥,像,地下通道
人行天桥,需要,清洗
人行天桥,需要,铁
人行天桥,有,人
人行天桥,有,支架
扫帚,可以,扫地
扫帚,可以,打扫
扫帚,有,把手
扫帚,有,毛
扫帚,可以,清洁
扫帚,像,扇子
扫帚,是,生活用品
扫帚,是,用品
扫帚,可以,除尘
扫帚,可以,清扫
扫帚,是,塑料
扫帚,是,长的
扫帚,像,魔法棒
扫帚,像,尾巴
扫帚,需要,更换
扫帚,有,多种长度
扫帚,有,杆子
沙发,像,椅子
沙发,有,海绵
沙发,是,舒服的
沙发,是,皮的
沙发,需要,保养
沙发,有,多种材质
沙发,可以,买卖
沙发,需要,制造
沙发,有,布
沙发,有,垫子
沙发,是,词汇
沙发,是,国外的
沙发,是,长的
沙发,需要,设计
沙发,有,多种型号
沙发,有,多种颜色
沙发,有,扶手
沙发,有,棉花
沙发,有,皮
沙发,有,腿
沙发,可以,看视频
沙发,可以,趴
沙发,可以,玩手机
沙发,是,方形的
沙发,是,硬的
沙发,需要,清理
沙发,有,弹簧
沙发,有,多种形状
沙发,有,多种种类
沙发,有,软垫
纱布,可以,包扎
纱布,有,布
纱布,是,棉的
纱布,可以,包扎伤口
纱布,是,白色的
纱布,是,纺织品
纱布,有,多种样式
纱布,可以,包裹
纱布,可以,买卖
纱布,需要,清洗
纱布,有,棉花
纱布,是,稀疏的
纱布,是,药
纱布,像,胶带
纱布,像,渔网
纱布,需要,制造
纱布,可以,包裹伤口
纱布,可以,保护
纱布,可以,保护伤口
纱布,是,薄的
纱布,是,透气的
纱布,是,用品
纱布,像,毛巾
纱布,像,手帕
纱布,需要,干燥
纱布,需要,剪刀
纱布,有,洞
纱布,有,宽度
狮子,是,肉食类
狮子,是,凶的
狮子,可以,捕猎
狮子,像,老虎
狮子,需要,水
狮子,可以,跑
狮子,像,猫
狮子,需要,睡觉
狮子,有,眼睛
狮子,有,四肢
狮子,需要,保护
狮子,有,鼻子
狮子,是,哺乳类
狮子,是,猫科
狮子,有,锋利的牙齿
狮子,是,锋利的
狮子,有,耳朵
狮子,是,猛兽
狮子,是,兽类
狮子,是,野生的
狮子,需要,呼吸
狮子,有,锋利的爪子
狮子,可以,吃人
狮子,可以,观赏
狮子,可以,咬
狮子,是,大的
狮子,是,黄色的
狮子,有,雌的
狮子,有,皮肤
狮子,可以,伤人
狮子,是,非洲的
狮子,是,快速的
狮子,是,森林之王
狮子,是,王
狮子,需要,领地
手掌,有,手指
手掌,有,肉
手掌,有,掌纹
手掌,是,手
手掌,有,掌心
手掌,有,骨骼
手掌,可以,击掌
手掌,有,温度
手掌,可以,打人
手掌,可以,鼓掌
手掌,可以,拿
手掌,像,脚
手掌,有,关节
手掌,有,血液
手掌,可以,握
手掌,可以,握手
手掌,可以,写字
手掌,是,厚的
手掌,是,宽的
手掌,是,软的
手掌,像,五指山
手掌,像,仙人掌
手掌,需要,保养
手掌,有,表皮
手掌,有,肌肉
手掌,有,纹路
手掌,有,血管
手掌,有,指头
书柜,可以,放书
书柜,是,木的
书柜,有,书
书柜,是,柜子
书柜,像,衣柜
书柜,有,隔层
书柜,有,架子
书柜,需要,清理
书柜,有,格子
书柜,有,很多层
书柜,有,玻璃门
天鹅,有,羽毛
天鹅,可以,飞
天鹅,可以,观赏
天鹅,像,鸭子
天鹅,可以,游泳
天鹅,有,脖子
天鹅,有,眼睛
天鹅,是,黑色的
天鹅,需要,睡觉
天鹅,是,高贵的
天鹅,像,大雁
天鹅,需要,空气
天鹅,有,长脖子
